lr,beta,train,test,pos,rot,kl
0.00022622261579968093,0.11,0.5598013,0.57198983,2.9156485,0.12499531,1.3021919
0.00022142889872558575,0.12,0.5717119,0.5843243,2.9231024,0.12514792,1.2854476
0.00021625659411396572,0.13,0.58250964,0.5951609,2.9270759,0.12495632,1.2680439
0.00021072611468812174,0.14,0.5937031,0.60652477,2.9369285,0.12514529,1.2490355
0.00020485928672371186,0.15,0.6063469,0.62111276,2.9567888,0.12519743,1.2364712
0.00019867926391041292,0.16,0.6161953,0.63547134,2.9607818,0.124923594,1.21996
0.00019221043597488505,0.17,0.62775177,0.64010537,2.975624,0.12519945,1.2058231
0.00018547833242566354,0.18,0.6396772,0.65458757,2.9941115,0.1254419,1.1934681
0.00017850952179985152,0.19,0.6498581,0.6632231,2.9994602,0.12543938,1.181435
0.0001713315068092424,0.2,0.6607114,0.6759172,3.0102649,0.12550451,1.1709025
0.00016397261579968094,0.21,0.67039603,0.684319,3.0112302,0.12556888,1.1604956
0.0001564618909520244,0.22,0.6808594,0.6991139,3.0290606,0.12573037,1.146468
0.00014882897366592273,0.23,0.69281316,0.7042184,3.0496094,0.12595668,1.1386765
0.0001411039875787559,0.24,0.70239305,0.7141471,3.058454,0.12606294,1.1270198
0.0001333174196813995,0.25,0.7115716,0.7241194,3.0508883,0.1258575,1.1225013
0.0001255,0.25,0.70983946,0.72460014,3.0464218,0.1257651,1.1177284
0.00011768258031860048,0.25,0.70956314,0.72320724,3.0429075,0.12562953,1.1185713
0.00010989601242124412,0.25,0.70816404,0.7253134,3.0372906,0.1255156,1.1156775
0.00010217102633407727,0.25,0.70652115,0.72031075,3.0260527,0.12529628,1.1144786
9.453810904797556e-05,0.25,0.70551383,0.7191612,3.0155282,0.1250215,1.1157577
8.702738420031908e-05,0.25,0.70475703,0.71835995,3.0081475,0.124815576,1.1165069
7.966849319075761e-05,0.25,0.70332944,0.7158932,2.9982247,0.12467273,1.115337
7.249047820014844e-05,0.25,0.7026161,0.716811,2.9909618,0.12437976,1.1165603
6.552166757433643e-05,0.25,0.7010736,0.7154448,2.9867437,0.124235414,1.1126555
5.8789564025114885e-05,0.25,0.7001273,0.7142048,2.9725478,0.12403797,1.1153383
5.2320736089587104e-05,0.25,0.69910496,0.7157102,2.9646544,0.1238081,1.1153252
4.614071327628812e-05,0.25,0.6985296,0.7123356,2.9609406,0.12376203,1.1146942
4.027388531187825e-05,0.25,0.69768,0.716058,2.9551551,0.12357102,1.1143739
3.4743405886034285e-05,0.25,0.6964997,0.7102831,2.945139,0.12339992,1.1143433
2.957110127441425e-05,0.25,0.69704014,0.71212,2.9425225,0.123414524,1.1174934
2.4777384200319054e-05,0.25,0.69572335,0.7097189,2.9360614,0.12324261,1.1154982
2.038117327499915e-05,0.25,0.6946169,0.7096036,2.9306278,0.12316235,1.113567
1.6399818334538984e-05,0.25,0.69471174,0.7073329,2.9267223,0.12305263,1.1159478
1.284903196798059e-05,0.25,0.69465655,0.7079134,2.9247804,0.12299535,1.1167326
9.742827506912707e-06,0.25,0.6940578,0.70907545,2.9176493,0.12290092,1.1175679
7.093463721253385e-06,0.25,0.69330823,0.7052925,2.9134963,0.122818924,1.116559
4.911396439485444e-06,0.25,0.6935757,0.71013945,2.9169407,0.12288074,1.1160035
3.205237284278254e-06,0.25,0.6934374,0.7080087,2.914099,0.122774474,1.1170119
